education,date,value
Total-all-education-levels,1990,61.7
Total-all-education-levels,1991,59.7
Total-all-education-levels,1992,58.4
Total-all-education-levels,1993,57.9
Total-all-education-levels,1994,58.4
Total-all-education-levels,1995,58.7
Total-all-education-levels,1996,58.5
Total-all-education-levels,1997,59
Total-all-education-levels,1998,59.7
Total-all-education-levels,1999,60.6
Total-all-education-levels,2000,61.3
Total-all-education-levels,2001,61.1
Total-all-education-levels,2002,61.7
Total-all-education-levels,2003,62.4
Total-all-education-levels,2004,62.6
Total-all-education-levels,2005,62.6
Total-all-education-levels,2006,62.8
Total-all-education-levels,2007,63.4
Total-all-education-levels,2008,63.5
Total-all-education-levels,2009,61.6
Total-all-education-levels,2010,61.6
Total-all-education-levels,2011,61.8
0-to-8-years,1990,30.8
0-to-8-years,1991,28.6
0-to-8-years,1992,27.6
0-to-8-years,1993,25.3
0-to-8-years,1994,25.1
0-to-8-years,1995,23.6
0-to-8-years,1996,23.1
0-to-8-years,1997,22.4
0-to-8-years,1998,22.8
0-to-8-years,1999,22.4
0-to-8-years,2000,21.9
0-to-8-years,2001,20.8
0-to-8-years,2002,21.5
0-to-8-years,2003,22.1
0-to-8-years,2004,22.6
0-to-8-years,2005,21.5
0-to-8-years,2006,21.4
0-to-8-years,2007,21.2
0-to-8-years,2008,20.7
0-to-8-years,2009,20
0-to-8-years,2010,19.8
0-to-8-years,2011,19.6
Some-high-school,1990,51.7
Some-high-school,1991,48.3
Some-high-school,1992,45.4
Some-high-school,1993,44.6
Some-high-school,1994,45
Some-high-school,1995,44.6
Some-high-school,1996,43.4
Some-high-school,1997,43.2
Some-high-school,1998,43.3
Some-high-school,1999,44.4
Some-high-school,2000,45.3
Some-high-school,2001,44.5
Some-high-school,2002,44.8
Some-high-school,2003,45.5
Some-high-school,2004,44.8
Some-high-school,2005,44.4
Some-high-school,2006,44.8
Some-high-school,2007,45.1
Some-high-school,2008,45.7
Some-high-school,2009,41.2
Some-high-school,2010,40.3
Some-high-school,2011,40.2
High-school-graduate,1990,68.1
High-school-graduate,1991,65.3
High-school-graduate,1992,63.8
High-school-graduate,1993,62.6
High-school-graduate,1994,63.7
High-school-graduate,1995,63.6
High-school-graduate,1996,63.7
High-school-graduate,1997,64.4
High-school-graduate,1998,64.3
High-school-graduate,1999,65.6
High-school-graduate,2000,65.9
High-school-graduate,2001,65.4
High-school-graduate,2002,66.2
High-school-graduate,2003,65.8
High-school-graduate,2004,66.1
High-school-graduate,2005,65.6
High-school-graduate,2006,65
High-school-graduate,2007,65.4
High-school-graduate,2008,64.7
High-school-graduate,2009,61.7
High-school-graduate,2010,61.7
High-school-graduate,2011,61.8
Some-postsecondary,1990,67.8
Some-postsecondary,1991,66.8
Some-postsecondary,1992,64.5
Some-postsecondary,1993,63.1
Some-postsecondary,1994,63.5
Some-postsecondary,1995,63.8
Some-postsecondary,1996,63.3
Some-postsecondary,1997,62.5
Some-postsecondary,1998,63.1
Some-postsecondary,1999,63.5
Some-postsecondary,2000,63.6
Some-postsecondary,2001,63.1
Some-postsecondary,2002,63.3
Some-postsecondary,2003,63.6
Some-postsecondary,2004,64.3
Some-postsecondary,2005,63.1
Some-postsecondary,2006,63.9
Some-postsecondary,2007,64.1
Some-postsecondary,2008,64.6
Some-postsecondary,2009,60.9
Some-postsecondary,2010,60.8
Some-postsecondary,2011,60.4
Postsecondary-certificate-or-diploma,1990,74.4
Postsecondary-certificate-or-diploma,1991,72.9
Postsecondary-certificate-or-diploma,1992,71.2
Postsecondary-certificate-or-diploma,1993,70.5
Postsecondary-certificate-or-diploma,1994,70.3
Postsecondary-certificate-or-diploma,1995,70.8
Postsecondary-certificate-or-diploma,1996,70.6
Postsecondary-certificate-or-diploma,1997,70.8
Postsecondary-certificate-or-diploma,1998,71.7
Postsecondary-certificate-or-diploma,1999,72.2
Postsecondary-certificate-or-diploma,2000,72.9
Postsecondary-certificate-or-diploma,2001,72.4
Postsecondary-certificate-or-diploma,2002,72.6
Postsecondary-certificate-or-diploma,2003,73.5
Postsecondary-certificate-or-diploma,2004,72.9
Postsecondary-certificate-or-diploma,2005,72.6
Postsecondary-certificate-or-diploma,2006,72.6
Postsecondary-certificate-or-diploma,2007,72.8
Postsecondary-certificate-or-diploma,2008,72.8
Postsecondary-certificate-or-diploma,2009,71.2
Postsecondary-certificate-or-diploma,2010,70.8
Postsecondary-certificate-or-diploma,2011,71
University-degree,1990,82.2
University-degree,1991,80.6
University-degree,1992,79.4
University-degree,1993,79.3
University-degree,1994,79
University-degree,1995,79.6
University-degree,1996,78.4
University-degree,1997,78.5
University-degree,1998,79.3
University-degree,1999,78.6
University-degree,2000,78.4
University-degree,2001,77.5
University-degree,2002,77.1
University-degree,2003,76.2
University-degree,2004,77
University-degree,2005,76.8
University-degree,2006,76.8
University-degree,2007,76.7
University-degree,2008,76.3
University-degree,2009,75.9
University-degree,2010,75.4
University-degree,2011,74.8
Bachelor's-degree,1990,81
Bachelor's-degree,1991,79.2
Bachelor's-degree,1992,77.8
Bachelor's-degree,1993,78
Bachelor's-degree,1994,78
Bachelor's-degree,1995,78.6
Bachelor's-degree,1996,77.7
Bachelor's-degree,1997,77.9
Bachelor's-degree,1998,78.9
Bachelor's-degree,1999,78.2
Bachelor's-degree,2000,78.1
Bachelor's-degree,2001,77.3
Bachelor's-degree,2002,77
Bachelor's-degree,2003,76.1
Bachelor's-degree,2004,76.8
Bachelor's-degree,2005,76.7
Bachelor's-degree,2006,76.7
Bachelor's-degree,2007,76.9
Bachelor's-degree,2008,76.3
Bachelor's-degree,2009,75.7
Bachelor's-degree,2010,75.4
Bachelor's-degree,2011,74.5
Above-bachelor's-degree,1990,85
Above-bachelor's-degree,1991,84.1
Above-bachelor's-degree,1992,83
Above-bachelor's-degree,1993,82.3
Above-bachelor's-degree,1994,81.2
Above-bachelor's-degree,1995,81.8
Above-bachelor's-degree,1996,79.9
Above-bachelor's-degree,1997,79.9
Above-bachelor's-degree,1998,80.1
Above-bachelor's-degree,1999,79.5
Above-bachelor's-degree,2000,79
Above-bachelor's-degree,2001,78.1
Above-bachelor's-degree,2002,77.2
Above-bachelor's-degree,2003,76.5
Above-bachelor's-degree,2004,77.5
Above-bachelor's-degree,2005,77.2
Above-bachelor's-degree,2006,77
Above-bachelor's-degree,2007,76.4
Above-bachelor's-degree,2008,76.4
Above-bachelor's-degree,2009,76.3
Above-bachelor's-degree,2010,75.4
Above-bachelor's-degree,2011,75.4